method,lr,weight_decay,hidden_channels,power1,power2,normalize_feature,val_acc,test_acc
ognn, 0.001,0.0005,128,2,5,False,94.4000 ± 1.3824, 92.7273 ± 1.7818
ognn, 0.001,0.0005,128,5,2,False,93.8667 ± 2.4676, 93.4632 ± 0.6467
ognn, 0.01,0.0005,128,20,1,False,94.5333 ± 1.5916, 92.7004 ± 1.2809
ognn, 0.001,0.0005,64,20,1,False,93.6000 ± 2.2901, 93.2045 ± 0.9447
ognn, 0.01,0.0005,128,20,2,False,94.8000 ± 2.0221, 91.5650 ± 1.5277
ognn, 0.001,0.0005,64,20,2,False,94.0000 ± 1.6997, 93.3750 ± 1.0934
ognn, 0.001,0.001,128,20,1,False,94.0000 ± 1.9436, 93.2477 ± 1.0777
ognn, 0.001,0.0005,128,5,5,False,93.8667 ± 2.0763, 93.4060 ± 0.6709
ognn, 0.001,0.0005,128,10,1,False,94.1333 ± 1.6600, 93.1519 ± 1.1578
ognn, 0.001,0.001,128,20,2,False,94.0000 ± 1.9436, 93.4129 ± 1.0124
ognn, 0.001,0.0005,64,20,5,False,94.0000 ± 1.9436, 93.2623 ± 1.1927
ognn, 0.01,0.0005,128,20,5,False,94.6667 ± 2.0000, 92.4533 ± 1.3809
ognn, 0.001,0.0005,128,10,2,False,94.0000 ± 1.6997, 93.5555 ± 0.6581
ognn, 0.001,0.001,128,20,5,False,94.2667 ± 1.3824, 93.3984 ± 1.0153
ognn, 0.001,0.0005,128,10,5,False,94.2667 ± 1.0110, 93.3394 ± 1.1616
ognn, 0.001,0.0005,128,20,1,False,93.7333 ± 1.6733, 93.4241 ± 0.6307
ognn, 0.001,0.0005,128,20,2,False,93.8667 ± 1.5916, 93.5234 ± 0.8487
ognn, 0.001,0.0005,128,20,5,False,93.8667 ± 1.5916, 93.1092 ± 1.6397
