method,lr,weight_decay,hidden_channels,power1,power2,normalize_feature,val_acc,test_acc
ognn, 0.01,0.0005,128,20,1,False,79.9492 ± 1.2024, 79.9159 ± 1.2273
ognn, 0.001,0.001,128,20,1,False,78.8829 ± 1.2552, 78.8183 ± 1.4613
ognn, 0.01,0.0005,128,20,2,False,79.4217 ± 1.1700, 79.3340 ± 1.2483
ognn, 0.001,0.001,128,20,2,False,80.0243 ± 1.5563, 80.0348 ± 1.5028
ognn, 0.001,0.0005,128,10,5,False,88.3413 ± 0.3892, 88.3706 ± 0.4723
ognn, 0.01,0.0005,128,20,5,False,81.1608 ± 2.1309, 81.2164 ± 2.1396
ognn, 0.001,0.001,128,20,5,False,81.0342 ± 0.7726, 81.0280 ± 0.8531
ognn, 0.001,0.0005,128,20,1,False,79.3759 ± 1.2936, 79.3272 ± 1.3902
ognn, 0.001,0.0005,128,20,2,False,80.9659 ± 2.3907, 80.9640 ± 2.2635
ognn, 0.001,0.0005,128,20,5,False,83.4238 ± 1.8496, 83.4403 ± 1.7114
ognn, 0.01,0.001,64,2,1,True,75.8166 ± 1.0333, 75.7221 ± 1.0610
ognn, 0.01,0.0005,64,2,1,True,76.4833 ± 0.2659, 76.3171 ± 0.3028
ognn, 0.01,0.001,64,2,2,True,76.6080 ± 0.1563, 76.4409 ± 0.1737
ognn, 0.01,0.0005,64,2,2,True,76.7267 ± 0.1775, 76.5480 ± 0.1421
ognn, 0.01,0.001,64,5,1,True,76.6029 ± 0.1891, 76.4698 ± 0.1751
ognn, 0.01,0.0005,64,5,1,True,76.7319 ± 0.1256, 76.5928 ± 0.1239
ognn, 0.01,0.0005,128,2,1,True,76.4346 ± 0.1676, 76.3118 ± 0.2326
ognn, 0.01,0.001,128,2,1,True,76.4861 ± 0.1321, 76.3432 ± 0.1470
ognn, 0.01,0.001,64,5,2,True,76.6641 ± 0.1819, 76.5173 ± 0.1415
ognn, 0.01,0.001,64,2,5,True,76.6587 ± 0.1326, 76.5148 ± 0.1352
ognn, 0.01,0.0005,64,5,2,True,76.8248 ± 0.1847, 76.6642 ± 0.1805
ognn, 0.01,0.0005,64,2,5,True,76.7772 ± 0.1302, 76.6095 ± 0.0958
ognn, 0.01,0.0005,128,2,2,True,76.7018 ± 0.1286, 76.5314 ± 0.1692
ognn, 0.01,0.001,128,2,2,True,76.5915 ± 0.1367, 76.4385 ± 0.1659
ognn, 0.01,0.001,64,5,5,True,76.7296 ± 0.1412, 76.5855 ± 0.1284
ognn, 0.01,0.0005,64,5,5,True,76.8133 ± 0.1404, 76.6434 ± 0.1453
ognn, 0.001,0.0005,128,2,1,True,74.0660 ± 0.1598, 73.9831 ± 0.1667
ognn, 0.001,0.001,32,2,2,False,87.6948 ± 0.2351, 87.7147 ± 0.3093
ognn, 0.001,0.005,32,2,2,False,87.3211 ± 0.1580, 87.3094 ± 0.2081
ognn, 0.001,0.001,32,2,5,False,87.9281 ± 0.3124, 87.9451 ± 0.3944
ognn, 0.001,0.001,32,5,2,False,87.0926 ± 0.3805, 87.1045 ± 0.4055
ognn, 0.001,0.005,32,5,2,False,86.2297 ± 0.4264, 86.2315 ± 0.4051
ognn, 0.001,0.005,32,2,5,False,87.5565 ± 0.1831, 87.5667 ± 0.2702
ognn, 0.001,0.001,32,5,5,False,87.2335 ± 0.3680, 87.2363 ± 0.3652
ognn, 0.001,0.005,32,5,5,False,86.3202 ± 0.3419, 86.3267 ± 0.2316
ognn, 0.001,0.001,32,10,2,False,85.7913 ± 0.7200, 85.7913 ± 0.6618
