method,lr,weight_decay,hidden_channels,power1,power2,normalize_feature,val_acc,test_acc
ognn, 0.01,0.001,128,10,5,True,72.2000 ± 1.6553, 68.3200 ± 1.2755
ognn, 0.001,0.0005,128,5,2,True,71.1600 ± 1.4859, 67.7200 ± 1.1145
ognn, 0.001,0.0005,64,10,1,True,71.4400 ± 1.7228, 68.3400 ± 1.2759
ognn, 0.001,0.001,64,20,5,True,70.3200 ± 1.4805, 67.7200 ± 1.0616
ognn, 0.001,0.0005,128,2,5,True,69.0800 ± 1.8199, 66.2800 ± 1.0134
ognn, 0.001,0.001,128,20,5,True,70.9600 ± 1.4588, 67.0600 ± 0.9965
ognn, 0.01,0.0005,64,5,5,True,71.7200 ± 1.6589, 68.3200 ± 0.5541
ognn, 0.01,0.0005,128,2,2,True,70.0800 ± 1.8580, 66.4000 ± 1.4370
ognn, 0.01,0.0005,128,20,5,True,72.6400 ± 2.1927, 68.6400 ± 0.7733
ognn, 0.01,0.0005,64,10,2,True,72.6000 ± 1.7205, 69.4000 ± 0.5958
ognn, 0.01,0.0005,64,10,1,True,72.4400 ± 2.1232, 68.9200 ± 1.2194
ognn, 0.001,0.0005,128,10,1,True,71.6000 ± 1.9235, 68.6600 ± 1.7009
ognn, 0.001,0.0005,64,10,5,True,70.6000 ± 1.4353, 67.1800 ± 0.9680
ognn, 0.001,0.0005,128,5,5,True,70.9200 ± 1.0733, 67.7200 ± 0.8585
ognn, 0.01,0.001,128,20,1,True,72.3600 ± 1.7111, 68.2000 ± 1.1336
ognn, 0.01,0.0005,128,5,1,True,71.8000 ± 1.3928, 68.3200 ± 1.1212
ognn, 0.01,0.001,128,20,2,True,72.5200 ± 1.9005, 68.9400 ± 1.4223
ognn, 0.001,0.0005,128,10,2,True,71.5600 ± 1.4241, 67.9400 ± 1.2300
ognn, 0.01,0.0005,128,2,5,True,70.3200 ± 1.8953, 67.4600 ± 1.1653
ognn, 0.001,0.0005,64,20,2,True,70.7600 ± 1.5710, 67.7800 ± 1.0498
ognn, 0.001,0.0005,64,20,1,True,71.0400 ± 1.5582, 68.0000 ± 1.4883
ognn, 0.001,0.0005,128,10,5,True,71.2400 ± 1.5323, 67.8800 ± 1.4721
ognn, 0.01,0.001,128,20,5,True,72.2800 ± 1.8580, 68.3000 ± 0.7517
ognn, 0.01,0.0005,64,10,5,True,72.1200 ± 1.6407, 68.0800 ± 0.9149
ognn, 0.01,0.0005,64,20,1,True,72.4800 ± 1.9829, 68.9000 ± 1.1091
ognn, 0.001,0.0005,128,20,1,True,71.7600 ± 2.1420, 67.9400 ± 1.6652
ognn, 0.001,0.0005,64,20,5,True,70.4400 ± 1.9204, 67.3600 ± 1.0213
ognn, 0.001,0.0005,128,20,2,True,71.0000 ± 1.7378, 67.3200 ± 1.3517
ognn, 0.01,0.0005,64,20,2,True,72.2400 ± 2.1790, 68.4000 ± 0.7416
ognn, 0.001,0.0005,128,20,5,True,70.7600 ± 1.7053, 67.9200 ± 1.0803
ognn, 0.01,0.0005,64,20,5,True,72.4800 ± 2.3647, 68.3800 ± 1.3971
