method,lr,weight_decay,hidden_channels,power,val_acc,test_acc
gcn_strc, 0.0001,0.001,32,10,72.9600 ± 2.5784, 72.1600 ± 2.0007
gcn_strc, 0.001,0.001,32,10,73.6000 ± 1.9494, 72.3000 ± 2.1817
gcn_strc, 0.0001,0.001,32,10,73.5200 ± 2.5985, 72.6800 ± 2.1993
gcn_strc, 0.001,0.001,32,10,73.8400 ± 1.7516, 72.8000 ± 2.1691
gcn_strc, 0.0001,0.001,16,10,71.8400 ± 2.8615, 71.6200 ± 2.8578
gcn_strc, 0.0001,0.001,16,10,71.3200 ± 2.8093, 71.6400 ± 2.7070
gcn_strc, 0.0001,0.001,32,10,73.0400 ± 2.6321, 72.2200 ± 2.1753
gcn_strc, 0.0001,0.001,32,10,73.5200 ± 2.5985, 72.7000 ± 2.1920
gcn_strc, 0.01,0.001,256,10,76.4000 ± 2.0833, 75.6400 ± 2.4399
gcn_strc, 0.01,0.001,256,10,76.4800 ± 2.4803, 75.7400 ± 2.0936
gcn_strc, 0.01,0.001,256,5,76.6000 ± 1.7833, 75.8000 ± 2.0917
gcn_strc, 0.01,0.001,256,5,76.0800 ± 1.9575, 74.7000 ± 2.8836
gcn_strc, 0.0001,0.001,256,5,74.8400 ± 1.9204, 74.6400 ± 1.5805
gcn_strc, 0.001,0.001,256,5,75.8000 ± 1.7607, 74.7000 ± 2.0652
gcn_strc, 0.0001,0.001,256,5,74.7200 ± 2.0765, 74.2800 ± 1.1212
gcn_strc, 0.0001,0.001,256,5,74.8400 ± 1.9204, 74.6200 ± 1.6208
gcn_strc, 0.001,0.001,256,10,75.7200 ± 2.1382, 74.7400 ± 1.4792
gcn_strc, 0.0001,0.001,256,5,74.7200 ± 2.0765, 74.2800 ± 1.1212
gcn_strc, 0.001,0.001,256,10,75.7200 ± 2.3900, 74.6000 ± 1.8152
gcn_strc, 0.0001,0.001,256,10,74.9200 ± 2.2830, 74.2800 ± 1.4516
gcn_strc, 0.0001,0.001,256,10,74.8000 ± 2.2672, 74.2400 ± 1.6502
gcn_strc, 0.001,0.001,16,5,73.3200 ± 2.1936, 72.1000 ± 2.4779
gcn_strc, 0.001,0.001,16,5,72.5200 ± 2.7151, 71.2000 ± 3.4971
gcn_strc, 0.0001,0.001,256,10,74.8400 ± 2.2733, 74.1600 ± 1.5947
gcn_strc, 0.0001,0.001,256,10,74.9200 ± 2.2830, 74.2800 ± 1.4516
gcn_strc, 0.001,0.001,32,5,73.9600 ± 1.6935, 72.9200 ± 1.4990
gcn_strc, 0.001,0.001,32,5,73.3200 ± 1.7584, 72.2200 ± 2.3994
gcn_strc, 0.001,0.001,16,10,73.0400 ± 2.7474, 72.0400 ± 3.4703
gcn_strc, 0.001,0.001,16,10,72.6800 ± 3.4572, 72.1200 ± 3.9796
gcn_strc, 0.001,0.001,32,10,73.9200 ± 1.9215, 72.5600 ± 2.0983
gcn_strc, 0.001,0.001,32,10,73.6400 ± 1.8836, 71.4200 ± 2.8874
gcn_strc, 0.01,0.001,256,5,76.7600 ± 1.6876, 75.2200 ± 2.1147
gcn_strc, 0.01,0.001,256,5,75.9200 ± 2.1845, 74.7800 ± 2.7851
gcn_strc, 0.001,0.001,16,5,72.5200 ± 2.7662, 71.0000 ± 3.6551
gcn_strc, 0.001,0.001,16,5,73.5600 ± 2.1420, 72.2800 ± 2.2884
gcn_strc, 0.01,0.001,256,10,76.4000 ± 1.8385, 75.5200 ± 2.6100
gcn_strc, 0.01,0.001,256,10,76.5600 ± 2.2909, 75.3000 ± 3.1137
gcn_strc, 0.001,0.001,256,5,76.1200 ± 2.1569, 75.1200 ± 2.1970
gcn_strc, 0.001,0.001,256,5,76.0400 ± 2.0268, 74.5200 ± 1.6300
gcn_strc, 0.001,0.001,16,10,72.9600 ± 2.9065, 72.3800 ± 3.2360
gcn_strc, 0.001,0.001,256,10,76.3200 ± 1.8033, 74.6200 ± 2.1123
gcn_strc, 0.001,0.001,256,10,76.3600 ± 1.9204, 74.9200 ± 2.0511
gcn_strc, 0.001,0.001,16,10,72.7200 ± 3.5174, 72.1000 ± 3.9636
gcn_strc, 0.001,0.01,256,5,75.8800 ± 2.2118, 74.5400 ± 1.5852
gcn_strc, 0.001,0.01,256,5,76.4000 ± 1.9596, 75.5600 ± 2.4481
gcn_strc, 0.001,0.001,256,5,76.1200 ± 2.1569, 75.1200 ± 2.1970
gcn_strc, 0.001,0.001,256,10,76.3600 ± 1.7743, 74.7200 ± 2.0777
gcn_strc, 0.001,0.001,256,10,76.3600 ± 1.9204, 74.9400 ± 2.0107
gcn_strc, 0.001,0.01,256,10,76.0800 ± 1.8089, 74.6400 ± 2.5774
gcn_strc, 0.001,0.01,256,10,76.0400 ± 1.9920, 74.9600 ± 2.6931
gcn_strc, 0.001,0.001,256,5,76.0800 ± 2.0717, 74.5800 ± 1.6724
gcn_strc, 0.001,0.001,256,20,76.5200 ± 1.8580, 75.1400 ± 2.3650
gcn_strc, 0.001,0.01,256,20,76.0000 ± 1.6673, 75.5600 ± 2.5706
gcn_strc, 0.001,0.01,256,20,76.2000 ± 1.7664, 74.9400 ± 2.4714
gcn_strc, 0.001,0.001,256,20,76.4400 ± 1.7967, 74.7800 ± 2.1856
gcn_strc, 0.001,0.001,512,5,76.3600 ± 2.3212, 75.8400 ± 1.5598
gcn_strc, 0.001,0.001,512,5,76.2000 ± 2.8566, 75.4200 ± 1.6529
gcn_strc, 0.001,0.01,512,5,76.8000 ± 2.0976, 76.7800 ± 1.3103
gcn_strc, 0.001,0.01,512,5,76.0800 ± 2.2477, 75.5000 ± 1.4089
gcn_strc, 0.001,0.01,512,10,76.4800 ± 1.6529, 75.5400 ± 1.4775
gcn_strc, 0.001,0.01,512,10,76.5600 ± 1.9256, 76.5200 ± 1.3255
gcn_strc, 0.0001,0.001,256,20,74.9200 ± 2.4601, 73.9800 ± 1.7138
gcn_strc, 0.001,0.01,512,20,77.0800 ± 1.9677, 76.5400 ± 0.7570
gcn_strc, 0.001,0.01,512,20,76.7200 ± 1.5466, 76.1200 ± 1.2398
gcn_strc, 0.001,0.001,256,5,75.2400 ± 2.0317, 74.2000 ± 1.9875
gcn_strc, 0.0001,0.001,256,20,74.8000 ± 2.7964, 74.2800 ± 1.7413
gcn_strc, 0.0001,0.001,512,5,75.9600 ± 1.3957, 74.6400 ± 2.3126
gcn_strc, 0.0001,0.001,512,5,75.8000 ± 1.4213, 74.3600 ± 2.8263
gcn_strc, 0.0001,0.001,512,10,76.0400 ± 1.0139, 74.7400 ± 2.2755
gcn_strc, 0.0001,0.01,256,5,75.8400 ± 2.0070, 75.3800 ± 1.9804
gcn_strc, 0.0001,0.001,512,10,75.7600 ± 1.3668, 74.9600 ± 2.4337
gcn_strc, 0.0001,0.01,256,5,75.9200 ± 2.2163, 75.0000 ± 2.3000
gcn_strc, 0.0001,0.01,256,10,75.6400 ± 2.0562, 75.1000 ± 2.2361
gcn_strc, 0.0001,0.001,512,20,76.0000 ± 1.0296, 74.9800 ± 2.4129
gcn_strc, 0.0001,0.001,512,20,76.1200 ± 1.2775, 74.8800 ± 2.2950
gcn_strc, 0.0001,0.01,256,10,75.8400 ± 2.4552, 74.9800 ± 2.0105
gcn_strc, 0.001,0.001,512,10,76.4400 ± 2.7546, 75.4600 ± 1.8202
gcn_strc, 0.001,0.001,512,10,76.5600 ± 2.7181, 75.4200 ± 2.0376
gcn_strc, 0.0001,0.01,256,20,75.5200 ± 2.3478, 74.6000 ± 2.9300
gcn_strc, 0.0001,0.001,256,5,75.5600 ± 1.6697, 75.2000 ± 1.8439
gcn_strc, 0.0001,0.001,256,5,75.6800 ± 1.8687, 74.9200 ± 1.8674
gcn_strc, 0.0001,0.01,256,20,75.5600 ± 2.4916, 74.8000 ± 2.5807
gcn_strc, 0.001,0.001,512,20,76.9200 ± 2.6781, 75.2800 ± 1.9409
gcn_strc, 0.001,0.001,512,20,76.8400 ± 2.5195, 75.3600 ± 2.1995
gcn_strc, 0.0001,0.001,256,10,75.8400 ± 1.8515, 74.3400 ± 2.2445
gcn_strc, 0.0001,0.01,512,5,76.2400 ± 1.7401, 76.1600 ± 0.9182
gcn_strc, 0.0001,0.01,512,5,76.4400 ± 1.7516, 76.3000 ± 0.6782
gcn_strc, 0.0001,0.001,256,10,75.7600 ± 1.8623, 74.0400 ± 2.2534
gcn_strc, 0.0001,0.01,512,10,76.6400 ± 1.6334, 76.2200 ± 1.1777
gcn_strc, 0.0001,0.01,512,10,76.5200 ± 1.6346, 76.0800 ± 0.8585
gcn_strc, 0.0001,0.01,512,20,76.5600 ± 1.8133, 75.9000 ± 1.2748
gcn_strc, 0.0001,0.01,512,20,76.5200 ± 1.5659, 76.0200 ± 0.9257
gcn_strc, 0.0001,0.1,1024,1,76.2400 ± 2.5628, 75.2200 ± 2.1845
gcn_strc, 0.0001,0.1,1024,2,76.6800 ± 2.0909, 75.3400 ± 2.3639
gcn_strc, 0.001,0.1,1024,1,77.3200 ± 1.7922, 77.3200 ± 1.1713
gcn_strc, 0.001,0.1,1024,2,76.7600 ± 2.0513, 76.2000 ± 1.7734
