method,lr,weight_decay,hidden_channels,num_layers,dropout,alpha,beta,gamma,delta,orders,val_acc,test_acc
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,1,53.2741 ± 0.5346, 53.2692 ± 0.4064
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,1,49.6228 ± 5.4254, 49.4726 ± 5.7438
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,1,53.1631 ± 1.6685, 53.1379 ± 1.5224
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,1,42.4079 ± 9.3226, 42.6865 ± 9.1557
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,1,51.4851 ± 4.5783, 51.4004 ± 4.8132
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,2,53.5453 ± 0.6883, 53.5565 ± 0.8146
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,1,54.3933 ± 0.2100, 54.4517 ± 0.2906
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,1,53.2283 ± 0.6238, 53.4162 ± 0.4935
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,2,40.5716 ± 9.0345, 40.6255 ± 8.9456
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,2,50.4240 ± 5.8739, 50.1774 ± 6.0647
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,2,47.8824 ± 10.0998, 47.8716 ± 9.9916
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,3,50.5766 ± 4.6919, 50.5751 ± 4.7647
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,2,50.2313 ± 3.2604, 50.2364 ± 3.3810
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,2,53.7692 ± 0.5289, 53.7355 ± 0.5427
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,2,47.3027 ± 5.9085, 47.2646 ± 5.9197
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,3,53.2269 ± 0.5824, 53.3524 ± 0.6294
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,1,51.0783 ± 4.6174, 51.1090 ± 4.3939
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,3,42.6923 ± 6.4602, 42.6435 ± 6.5214
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,1,54.2006 ± 0.2801, 54.1361 ± 0.3712
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,1,53.7017 ± 0.3479, 53.7468 ± 0.4377
