method,lr,weight_decay,hidden_channels,num_layers,dropout,alpha,beta,gamma,delta,orders,val_acc,test_acc
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,1,87.4667 ± 2.9590, 84.8652 ± 4.1920
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,1,71.7333 ± 4.1793, 68.8427 ± 8.7639
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,1,69.4667 ± 3.4448, 64.9423 ± 6.8590
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,2,84.4000 ± 1.0111, 78.4978 ± 5.7858
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,1,85.4667 ± 2.5991, 83.9348 ± 1.3514
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,1,84.8000 ± 2.5991, 82.9174 ± 1.9681
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,1,69.6000 ± 2.9288, 66.6478 ± 5.7544
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,2,89.2000 ± 2.1807, 87.6401 ± 2.2272
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,2,92.0000 ± 0.8165, 88.3743 ± 2.8312
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,1,65.0667 ± 5.1338, 61.9251 ± 7.8746
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,2,74.2667 ± 4.7749, 71.1252 ± 5.8092
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,3,80.0000 ± 1.7638, 72.8505 ± 7.3243
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,1,84.2667 ± 2.9288, 82.1920 ± 2.2808
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,2,73.7333 ± 5.2620, 69.8566 ± 6.8760
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,3,82.4000 ± 3.5777, 74.7586 ± 6.6927
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,2,87.2000 ± 3.1056, 84.8033 ± 2.8740
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,3,88.1333 ± 2.9212, 86.3254 ± 2.8936
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,1,83.2000 ± 2.7244, 81.1693 ± 2.3500
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,2,72.1333 ± 3.8987, 70.3461 ± 3.9949
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,2,86.8000 ± 3.1763, 84.9470 ± 2.8138
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,1,70.9333 ± 3.5150, 66.5275 ± 8.5219
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,3,89.3333 ± 2.9059, 87.0677 ± 3.0517
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,3,77.3333 ± 3.0185, 67.3177 ± 8.4949
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,1,69.0667 ± 3.6393, 63.3963 ± 8.7955
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,2,72.0000 ± 5.0111, 70.0546 ± 8.0520
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,2,84.2667 ± 3.3862, 82.1669 ± 1.0583
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,3,77.7333 ± 2.8519, 65.9674 ± 10.5867
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,3,84.8000 ± 2.8829, 82.9337 ± 2.5625
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,2,85.2000 ± 3.6938, 82.4344 ± 1.0922
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,3,86.4000 ± 3.0768, 84.5890 ± 1.9481
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,2,74.1333 ± 4.9531, 70.8156 ± 6.4860
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,3,77.8667 ± 2.9590, 71.0242 ± 6.2888
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,3,75.2000 ± 1.2824, 71.4085 ± 8.1327
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,3,83.0667 ± 2.5647, 73.7038 ± 2.0311
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,3,82.2667 ± 6.8085, 80.0806 ± 5.7185
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,3,76.6667 ± 2.7889, 66.0427 ± 9.7660
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,1,85.6000 ± 2.7729, 83.7140 ± 1.3152
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,2,72.8000 ± 5.8004, 69.0921 ± 7.7290
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,1,84.2667 ± 2.6077, 82.6516 ± 1.6452
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,1,68.9333 ± 2.9288, 65.7810 ± 6.5119
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,2,87.0667 ± 3.0037, 84.6538 ± 2.8882
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,1,65.2000 ± 4.9306, 61.3217 ± 10.1097
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,1,84.2667 ± 2.9288, 82.0600 ± 2.5246
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,2,86.2667 ± 3.5150, 84.5201 ± 2.9204
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,1,83.0667 ± 2.7729, 81.1436 ± 2.2509
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,2,72.2667 ± 3.6393, 70.2316 ± 4.0616
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,2,72.0000 ± 4.0825, 69.0956 ± 7.4853
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,3,78.6667 ± 3.0185, 68.7732 ± 5.7861
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,3,85.3333 ± 3.7118, 83.4057 ± 1.8421
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,2,84.1333 ± 3.6025, 82.4519 ± 0.6708
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,3,85.2000 ± 2.5991, 84.2940 ± 1.4503
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,2,84.9333 ± 3.4512, 82.2936 ± 1.0748
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,3,79.0667 ± 4.0988, 76.3742 ± 5.2252
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,3,76.1333 ± 5.6843, 66.0888 ± 10.8156
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,3,81.4667 ± 5.6056, 73.1560 ± 6.7276
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,3,82.6667 ± 7.4833, 79.0935 ± 8.0797
