method,lr,weight_decay,hidden_channels,num_layers,dropout,alpha,beta,gamma,delta,orders,val_acc,test_acc
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,2,50.7200 ± 3.7299, 49.1200 ± 3.6093
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,3,55.4800 ± 1.1541, 52.1600 ± 3.4573
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,1,55.3600 ± 2.9577, 51.0200 ± 6.0122
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,2,57.4400 ± 1.5388, 55.1400 ± 2.0599
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,3,58.5200 ± 2.0425, 55.0000 ± 2.7559
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,1,55.0000 ± 3.1528, 52.5600 ± 5.2291
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,2,56.5600 ± 2.6922, 54.6600 ± 5.3257
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,3,59.0000 ± 2.8601, 55.7200 ± 3.0947
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,1,51.8000 ± 1.1402, 48.4000 ± 1.5281
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,2,52.1200 ± 2.2917, 48.9600 ± 1.9857
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,3,51.6000 ± 2.5613, 49.3800 ± 2.5898
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,1,50.6800 ± 1.3461, 47.7800 ± 1.6162
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,2,50.9600 ± 2.5156, 47.7800 ± 2.3091
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,3,51.5600 ± 2.6207, 49.1600 ± 2.3298
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,1,53.5200 ± 1.7697, 50.7200 ± 2.0957
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,2,54.8000 ± 2.4576, 51.8000 ± 3.6194
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,3,53.2800 ± 1.8308, 51.2200 ± 2.0969
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,1,53.2000 ± 1.2083, 50.1200 ± 1.6270
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,2,54.7600 ± 2.7218, 51.5800 ± 2.4509
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,3,54.1600 ± 2.1698, 51.6800 ± 2.9210
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,1,49.4000 ± 0.7071, 46.9600 ± 1.2361
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,2,50.1200 ± 2.2387, 46.7000 ± 2.6963
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,3,52.4000 ± 2.7677, 49.0000 ± 0.9274
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,1,47.8000 ± 1.6553, 45.4400 ± 1.6471
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,2,50.2000 ± 1.9235, 47.0000 ± 3.5833
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,3,54.6000 ± 3.7842, 50.8200 ± 1.4550
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,1,52.9600 ± 1.8515, 50.2400 ± 3.9317
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,2,54.5600 ± 3.4363, 51.3200 ± 3.7930
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,3,52.6400 ± 0.7403, 51.1000 ± 2.2803
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,1,52.3200 ± 1.9930, 50.4000 ± 4.8719
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,2,54.5200 ± 3.5174, 51.4400 ± 4.2922
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,3,54.0000 ± 1.7833, 50.8000 ± 3.0307
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,1,51.2000 ± 0.8832, 49.0200 ± 2.0105
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,2,51.7600 ± 1.9256, 49.2400 ± 1.9693
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,3,51.4000 ± 2.0298, 48.8400 ± 2.3480
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,1,50.3600 ± 1.4588, 47.9200 ± 1.6193
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,2,50.7200 ± 2.0717, 48.1800 ± 2.3296
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,3,52.4800 ± 2.4108, 48.7000 ± 2.5397
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,1,53.1200 ± 1.7922, 50.2000 ± 1.6837
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,2,55.0400 ± 2.7401, 52.4600 ± 3.7099
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,3,54.2800 ± 2.1845, 51.6600 ± 2.3158
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,1,52.7600 ± 1.4311, 49.5600 ± 1.9857
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,2,55.5600 ± 2.7254, 52.4200 ± 3.7030
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,3,55.0400 ± 2.2199, 52.4400 ± 3.0892
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,1,49.4800 ± 0.6573, 46.5400 ± 1.3088
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,2,50.0800 ± 2.2163, 47.5200 ± 2.7581
