method,lr,weight_decay,hidden_channels,num_layers,power,val_acc,test_acc
linkx_aggr, 0.001,0.0005,16,1,2,74.5600 ± 3.1093, 73.4600 ± 2.1197
linkx_aggr, 0.001,0.0005,16,1,5,78.5600 ± 1.6577, 78.5400 ± 0.7301
linkx_aggr, 0.001,0.0005,16,1,10,79.0400 ± 1.1950, 79.4400 ± 0.4722
linkx_aggr, 0.001,0.0005,32,1,2,74.0400 ± 1.7855, 75.4800 ± 2.5014
linkx_aggr, 0.001,0.0005,32,1,5,78.8400 ± 1.6697, 79.4000 ± 2.2550
linkx_aggr, 0.001,0.0005,32,1,10,79.7200 ± 0.7155, 80.1000 ± 1.3454
linkx_aggr, 0.001,0.0005,128,1,2,76.8000 ± 1.1045, 77.2800 ± 1.4789
linkx_aggr, 0.001,0.0005,128,1,5,79.9200 ± 1.4670, 80.9600 ± 0.9317
linkx_aggr, 0.001,0.0005,128,1,10,80.3600 ± 1.5518, 81.1600 ± 0.7266
linkx_aggr, 0.001,0.0005,16,2,2,37.1600 ± 5.0723, 35.6800 ± 5.1222
linkx_aggr, 0.001,0.0005,16,2,5,47.1200 ± 10.2807, 47.4200 ± 11.4890
linkx_aggr, 0.001,0.0005,16,2,10,59.4000 ± 9.4816, 60.3400 ± 10.7987
linkx_aggr, 0.001,0.0005,32,2,2,44.0800 ± 8.3170, 44.3400 ± 6.6059
linkx_aggr, 0.001,0.0005,32,2,5,59.9200 ± 6.6657, 59.4400 ± 6.0318
linkx_aggr, 0.001,0.0005,32,2,10,69.4000 ± 3.1145, 69.6400 ± 3.5430
linkx_aggr, 0.001,0.0005,128,2,2,59.8800 ± 3.2453, 61.5000 ± 1.6897
linkx_aggr, 0.001,0.0005,128,2,5,70.8800 ± 2.4682, 70.7800 ± 2.8778
linkx_aggr, 0.001,0.0005,128,2,10,75.3600 ± 1.8078, 76.2400 ± 2.4006
