method,lr,weight_decay,hidden_channels,num_layers,power,val_acc,test_acc
linkx_aggr, 0.001,0.001,128,2,2,83.0667 ± 2.1396, 75.6055 ± 5.9449
linkx_aggr, 0.001,0.001,64,2,10,90.4000 ± 2.6916, 88.9449 ± 2.4636
linkx_aggr, 0.001,0.001,128,1,5,91.8667 ± 2.2311, 92.9539 ± 0.6665
linkx_aggr, 0.001,0.0005,64,2,2,75.6000 ± 6.2468, 72.0124 ± 6.7365
linkx_aggr, 0.001,0.0005,32,2,10,82.0000 ± 3.9721, 80.9941 ± 6.0496
linkx_aggr, 0.001,0.0005,128,1,2,91.8667 ± 1.7889, 92.8856 ± 0.9212
linkx_aggr, 0.001,0.0005,64,2,5,82.8000 ± 6.5388, 80.2044 ± 7.5814
linkx_aggr, 0.001,0.0005,64,1,10,91.3333 ± 2.1602, 92.5211 ± 0.6308
linkx_aggr, 0.001,0.001,128,2,5,88.9333 ± 3.0768, 85.6788 ± 4.3876
linkx_aggr, 0.001,0.0005,128,2,2,83.3333 ± 1.9437, 76.9138 ± 3.9415
linkx_aggr, 0.001,0.0005,64,2,10,90.4000 ± 2.6916, 88.9443 ± 2.4622
linkx_aggr, 0.001,0.001,128,2,10,90.6667 ± 2.2111, 88.7194 ± 1.6248
linkx_aggr, 0.001,0.0005,128,2,5,88.9333 ± 3.0768, 85.6759 ± 4.3892
linkx_aggr, 0.001,0.0005,128,1,10,91.3333 ± 2.2111, 92.4931 ± 0.5507
linkx_aggr, 0.001,0.0005,128,2,10,90.8000 ± 2.1807, 88.6669 ± 1.6504
linkx_aggr, 0.001,0.0005,128,1,5,91.8667 ± 2.2311, 92.9539 ± 0.6665
linkx_aggr, 0.001,0.001,128,1,10,91.3333 ± 2.2111, 92.4931 ± 0.5507
linkx_aggr, 0.01,0.0005,128,2,10,92.2667 ± 1.6055, 90.5236 ± 2.8815
