method,lr,weight_decay,hidden_channels,num_layers,power,val_acc,test_acc
linkx_aggr, 0.001,0.0005,16,1,2,89.5556 ± 2.1488, 90.1314 ± 1.5175
linkx_aggr, 0.001,0.0005,16,1,5,89.2000 ± 1.4623, 90.3725 ± 0.5761
linkx_aggr, 0.001,0.0005,16,1,10,88.3556 ± 2.1058, 89.8095 ± 0.5169
linkx_aggr, 0.001,0.0005,32,1,2,90.6222 ± 1.9077, 91.0516 ± 0.7224
linkx_aggr, 0.001,0.0005,32,1,5,89.6000 ± 1.0588, 90.7786 ± 0.9128
linkx_aggr, 0.001,0.0005,32,1,10,88.6667 ± 1.5476, 89.9027 ± 1.0815
linkx_aggr, 0.001,0.0005,128,1,2,91.0222 ± 1.2630, 91.9854 ± 0.4629
linkx_aggr, 0.001,0.0005,128,1,5,90.0889 ± 1.2630, 91.1562 ± 0.8518
linkx_aggr, 0.001,0.0005,128,1,10,88.9333 ± 1.4940, 90.4999 ± 0.4512
linkx_aggr, 0.001,0.0005,16,2,2,29.3778 ± 3.5880, 24.1665 ± 4.0900
linkx_aggr, 0.001,0.0005,16,2,5,46.1333 ± 6.1395, 36.9368 ± 4.0446
linkx_aggr, 0.001,0.0005,16,2,10,60.7111 ± 6.5667, 51.8364 ± 8.1407
linkx_aggr, 0.001,0.0005,128,2,5,86.3111 ± 2.1864, 87.1239 ± 1.6848
linkx_aggr, 0.001,0.0005,128,2,10,87.7333 ± 1.8817, 88.8711 ± 1.1121
