method,lr,weight_decay,hidden_channels,num_layers,power,val_acc,test_acc
linkx_aggr, 0.001,0.0005,16,1,2,60.6800 ± 1.5139, 57.6600 ± 1.5534
linkx_aggr, 0.001,0.0005,16,1,5,62.9200 ± 3.3988, 59.6000 ± 1.8641
linkx_aggr, 0.001,0.0005,16,1,10,63.7200 ± 3.4018, 59.8000 ± 1.5700
linkx_aggr, 0.001,0.0005,32,1,2,62.4400 ± 3.3299, 60.2600 ± 1.3315
linkx_aggr, 0.001,0.0005,32,1,5,64.1200 ± 3.4716, 61.3400 ± 2.2788
linkx_aggr, 0.001,0.0005,32,1,10,64.9600 ± 3.6094, 61.6000 ± 2.3948
linkx_aggr, 0.001,0.0005,128,1,2,67.1200 ± 2.0425, 63.5000 ± 1.6355
linkx_aggr, 0.001,0.0005,128,1,5,67.9200 ± 2.8021, 64.5200 ± 1.7683
linkx_aggr, 0.001,0.0005,128,1,10,67.6800 ± 2.8270, 64.8600 ± 2.0330
linkx_aggr, 0.001,0.0005,16,2,2,31.7600 ± 3.3269, 27.8400 ± 1.5566
linkx_aggr, 0.001,0.0005,16,2,5,35.7600 ± 3.2385, 33.9000 ± 3.1201
linkx_aggr, 0.001,0.0005,16,2,10,44.4400 ± 4.2881, 40.5200 ± 3.9764
linkx_aggr, 0.001,0.0005,32,2,2,31.7200 ± 1.9880, 29.6400 ± 1.4639
linkx_aggr, 0.001,0.0005,32,2,5,43.2400 ± 2.1466, 40.8400 ± 4.0340
linkx_aggr, 0.001,0.0005,32,2,10,52.0400 ± 3.0575, 50.2400 ± 3.1358
linkx_aggr, 0.001,0.0005,128,2,2,47.2400 ± 2.8192, 45.3400 ± 2.1732
linkx_aggr, 0.001,0.0005,128,2,5,57.8800 ± 4.6618, 55.1200 ± 4.9114
linkx_aggr, 0.001,0.0005,128,2,10,60.5600 ± 2.7763, 58.3200 ± 2.4201
