method,lr,weight_decay,hidden_channels,num_layers,dropout,alpha,beta,gamma,delta,orders,val_acc,test_acc
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,1,89.4667 ± 1.0494, 88.8733 ± 1.3830
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,2,86.4000 ± 2.5210, 85.9512 ± 1.1478
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,1,81.7333 ± 2.4006, 81.7062 ± 0.5627
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,1,83.6444 ± 2.1580, 83.7343 ± 0.8470
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,1,82.8889 ± 8.6994, 85.5963 ± 4.9465
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,2,79.0667 ± 8.3687, 86.8680 ± 3.8757
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,1,89.1556 ± 0.9480, 89.4261 ± 0.9911
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,1,83.4667 ± 2.9756, 83.2111 ± 0.6882
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,2,89.7778 ± 1.1440, 90.0472 ± 1.7757
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,3,80.4000 ± 5.9699, 83.5512 ± 1.1968
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,1,82.3111 ± 2.6369, 82.2067 ± 0.7623
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,1,89.0222 ± 0.8549, 88.8768 ± 0.8065
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,2,84.3111 ± 5.8702, 84.9775 ± 6.9763
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,2,84.9778 ± 1.1288, 84.7091 ± 0.6839
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,2,84.6667 ± 2.1716, 85.0458 ± 0.6362
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,1,88.8000 ± 0.8692, 89.2203 ± 0.7975
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,2,89.4222 ± 0.8972, 89.5729 ± 1.2487
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,1,82.3111 ± 2.4925, 82.0918 ± 1.1535
