method,lr,weight_decay,hidden_channels,num_layers,dropout,alpha,beta,gamma,delta,orders,val_acc,test_acc
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,2,61.9200 ± 1.5975, 60.7400 ± 3.5402
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,3,64.6800 ± 4.2346, 63.3000 ± 4.0589
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,1,61.9200 ± 2.5361, 62.4000 ± 3.0307
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,2,68.9200 ± 1.5271, 67.5200 ± 1.7712
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,3,70.8800 ± 2.0813, 69.0000 ± 2.7559
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,1,62.5600 ± 3.7078, 62.1600 ± 4.5774
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,2,68.7200 ± 1.1713, 67.4000 ± 2.7803
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,3,70.9200 ± 2.4601, 69.0400 ± 3.7407
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,1,53.4800 ± 2.9584, 51.2800 ± 3.7252
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,2,60.3200 ± 1.8472, 58.7600 ± 2.8378
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,3,64.0400 ± 4.6441, 61.6400 ± 5.8458
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,1,53.3600 ± 2.8298, 51.3200 ± 2.5163
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,2,59.3200 ± 2.7481, 58.3000 ± 2.9707
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,3,63.9600 ± 3.2230, 61.1400 ± 5.7309
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,1,64.9200 ± 1.4255, 63.1000 ± 1.9118
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,2,66.4000 ± 2.4617, 64.6200 ± 1.2538
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,3,66.9600 ± 2.8824, 64.2000 ± 2.7505
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,1,63.5200 ± 2.0813, 61.9000 ± 1.7103
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,2,66.1200 ± 2.4560, 64.8600 ± 2.3028
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,3,68.6400 ± 2.9611, 66.6400 ± 4.6317
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,1,56.2400 ± 2.1138, 54.3400 ± 2.4694
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,2,61.6000 ± 0.9899, 60.2600 ± 1.9139
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,3,63.9600 ± 1.5453, 62.7800 ± 3.8616
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,1,55.5200 ± 4.0289, 52.8000 ± 1.9545
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,2,61.3200 ± 1.3312, 60.2800 ± 3.2391
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,3,62.8400 ± 1.8188, 61.7200 ± 2.5253
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,1,64.4800 ± 2.0130, 62.4600 ± 1.6196
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,2,65.6800 ± 2.6253, 62.9200 ± 2.9482
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,3,66.9200 ± 3.5287, 65.2200 ± 3.1148
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,1,63.0800 ± 1.7978, 62.0600 ± 2.3255
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,2,67.0400 ± 2.3766, 64.4200 ± 2.0993
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,3,65.6000 ± 2.2091, 64.2000 ± 2.9428
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,1,53.4800 ± 3.1831, 51.2400 ± 2.1138
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,2,61.0000 ± 2.1772, 59.2600 ± 2.3639
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,3,63.6400 ± 3.9278, 61.9200 ± 5.5486
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,1,52.9600 ± 2.8475, 50.9800 ± 1.8458
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,2,60.2400 ± 2.5977, 58.4600 ± 3.5851
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,3,63.9600 ± 3.4508, 60.4400 ± 5.2804
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,1,63.9200 ± 2.1100, 62.4400 ± 1.3613
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,2,66.2400 ± 2.3384, 64.4400 ± 1.3939
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,3,68.0000 ± 3.6551, 66.2000 ± 4.3087
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,1,63.4000 ± 2.1587, 61.3600 ± 2.5745
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,2,66.1600 ± 2.2733, 64.6600 ± 2.4110
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,3,69.2800 ± 3.0939, 66.4000 ± 4.5716
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,1,56.2400 ± 2.4265, 54.0600 ± 2.3597
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,2,61.5600 ± 0.7403, 61.2600 ± 2.3126
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,3,63.7200 ± 2.6930, 62.5000 ± 4.8280
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,1,55.6000 ± 3.8781, 53.7400 ± 2.7952
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,2,61.9600 ± 1.0714, 60.2400 ± 4.0334
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,3,62.8800 ± 1.8580, 61.7400 ± 3.0072
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,1,64.3600 ± 2.5432, 62.2200 ± 1.8240
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,2,66.0800 ± 2.6631, 63.8800 ± 2.5956
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,3,68.6000 ± 2.7604, 65.4600 ± 4.1477
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,1,62.9600 ± 1.2837, 61.0800 ± 2.4753
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,2,66.5600 ± 2.3933, 64.3000 ± 2.5758
glognn, 0.001,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,3,66.2000 ± 2.4495, 64.6800 ± 3.0793
