method,lr,weight_decay,hidden_channels,num_layers,dropout,val_acc,test_acc
h2gcn_strc, 0.01,0.001,128,1,0.5,80.0000 ± 9.5452, 75.2107 ± 12.9945
h2gcn_strc, 0.001,0.001,32,1,0.0,64.0000 ± 15.8465, 64.4815 ± 15.7506
h2gcn_strc, 0.001,0.001,32,1,0.0,92.6667 ± 1.6997, 92.7174 ± 0.3145
h2gcn_strc, 0.001,0.001,32,1,0.5,92.5333 ± 1.5202, 92.4627 ± 0.3604
h2gcn_strc, 0.001,0.001,32,1,0.5,65.2000 ± 16.9601, 62.3368 ± 17.4024
h2gcn_strc, 0.01,0.001,64,2,0.0,90.8000 ± 2.0221, 90.3858 ± 4.0657
h2gcn_strc, 0.01,0.001,64,2,0.0,88.8000 ± 3.1763, 87.6734 ± 3.5233
h2gcn_strc, 0.01,0.001,64,2,0.5,92.5333 ± 0.8692, 91.3296 ± 1.9357
h2gcn_strc, 0.01,0.001,64,2,0.5,91.7333 ± 2.0331, 89.5698 ± 1.4341
h2gcn_strc, 0.01,0.0005,128,1,0.0,80.2667 ± 8.4669, 75.9402 ± 13.1504
h2gcn_strc, 0.01,0.0005,128,1,0.0,92.6667 ± 1.6997, 92.8090 ± 0.5033
h2gcn_strc, 0.001,0.001,64,1,0.0,69.6000 ± 12.1710, 69.6615 ± 13.1135
h2gcn_strc, 0.01,0.0005,128,1,0.5,77.8667 ± 8.6075, 70.8145 ± 10.6156
h2gcn_strc, 0.001,0.001,64,1,0.0,91.0667 ± 6.0846, 91.0201 ± 4.0368
h2gcn_strc, 0.001,0.001,64,1,0.5,72.5333 ± 13.6333, 68.1021 ± 14.4927
h2gcn_strc, 0.01,0.0005,128,1,0.5,93.8667 ± 1.0954, 91.4137 ± 1.7996
h2gcn_strc, 0.001,0.001,64,1,0.5,93.0667 ± 1.9206, 92.7138 ± 0.5497
h2gcn_strc, 0.01,0.0005,64,2,0.0,89.2000 ± 2.6833, 86.9059 ± 3.8632
h2gcn_strc, 0.01,0.0005,64,2,0.0,90.8000 ± 2.2311, 92.4230 ± 0.5457
h2gcn_strc, 0.01,0.0005,64,2,0.5,92.2667 ± 1.0110, 91.7326 ± 1.3468
h2gcn_strc, 0.01,0.0005,64,2,0.5,91.6000 ± 2.3381, 90.0686 ± 1.4528
h2gcn_strc, 0.001,0.001,32,2,0.0,88.8000 ± 0.8692, 87.2155 ± 1.5276
h2gcn_strc, 0.001,0.001,32,2,0.0,89.7333 ± 1.9206, 90.3513 ± 1.1490
h2gcn_strc, 0.001,0.001,32,2,0.5,91.0667 ± 1.9206, 90.2316 ± 0.7907
h2gcn_strc, 0.001,0.001,32,2,0.5,89.0667 ± 1.3824, 86.2524 ± 2.6396
h2gcn_strc, 0.001,0.0005,32,1,0.0,92.1333 ± 2.0763, 92.9054 ± 0.3881
h2gcn_strc, 0.001,0.0005,32,1,0.0,70.6667 ± 11.7284, 70.1399 ± 14.4860
h2gcn_strc, 0.001,0.0005,32,1,0.5,68.4000 ± 14.4499, 68.6990 ± 12.7934
h2gcn_strc, 0.001,0.0005,32,1,0.5,92.5333 ± 1.2824, 92.3517 ± 0.4850
h2gcn_strc, 0.001,0.001,128,1,0.0,70.4000 ± 2.7729, 67.7067 ± 7.4123
h2gcn_strc, 0.001,0.001,128,1,0.0,90.1333 ± 6.9984, 89.1003 ± 7.9224
h2gcn_strc, 0.001,0.0005,64,1,0.0,74.0000 ± 9.9889, 73.7342 ± 12.4762
h2gcn_strc, 0.001,0.001,128,1,0.5,70.0000 ± 3.0185, 66.6986 ± 4.7675
h2gcn_strc, 0.001,0.001,128,1,0.5,91.4667 ± 5.1294, 90.4132 ± 4.8187
h2gcn_strc, 0.001,0.001,64,2,0.0,91.0667 ± 1.9777, 89.3561 ± 0.7170
h2gcn_strc, 0.001,0.0005,64,1,0.0,91.8667 ± 4.2005, 91.2876 ± 3.7406
h2gcn_strc, 0.001,0.0005,64,1,0.5,68.6667 ± 4.2426, 64.8717 ± 8.8278
h2gcn_strc, 0.001,0.0005,64,1,0.5,91.8667 ± 3.5715, 91.7315 ± 2.3932
h2gcn_strc, 0.01,0.001,128,2,0.0,91.0667 ± 2.2901, 91.1836 ± 3.2908
h2gcn_strc, 0.01,0.001,128,2,0.0,88.5333 ± 3.1056, 84.8074 ± 3.1008
h2gcn_strc, 0.01,0.001,128,2,0.5,92.5333 ± 1.4453, 90.6866 ± 1.7305
h2gcn_strc, 0.01,0.001,128,2,0.5,90.8000 ± 3.5715, 88.4666 ± 3.6150
h2gcn_strc, 0.001,0.0005,32,2,0.0,89.6000 ± 1.6055, 90.3618 ± 1.5935
h2gcn_strc, 0.001,0.001,64,2,0.5,89.7333 ± 0.8944, 87.5612 ± 1.7259
h2gcn_strc, 0.001,0.001,64,2,0.0,89.7333 ± 1.0111, 86.7062 ± 0.8368
h2gcn_strc, 0.001,0.0005,32,2,0.0,88.6667 ± 0.8165, 87.1933 ± 1.4600
h2gcn_strc, 0.001,0.001,64,2,0.5,90.6667 ± 2.5386, 90.6264 ± 0.8943
h2gcn_strc, 0.001,0.0005,32,2,0.5,88.6667 ± 1.2472, 85.7676 ± 3.1384
h2gcn_strc, 0.001,0.0005,32,2,0.5,90.9333 ± 1.6055, 90.1907 ± 1.1769
h2gcn_strc, 0.001,0.0005,128,1,0.0,74.2667 ± 5.7465, 73.5093 ± 8.3365
h2gcn_strc, 0.01,0.0005,128,2,0.0,88.4000 ± 2.4313, 85.9598 ± 3.0813
h2gcn_strc, 0.01,0.0005,128,2,0.5,92.1333 ± 1.7256, 89.8736 ± 1.3190
h2gcn_strc, 0.001,0.0005,64,2,0.0,90.4000 ± 1.9206, 89.0564 ± 2.1016
