method,lr,weight_decay,hidden_channels,num_layers,dropout,val_acc,test_acc
h2gcn_strc, 0.001,0.0005,32,2,0.5,74.1200 ± 2.1194, 73.0600 ± 2.5215
h2gcn_strc, 0.001,0.0005,64,1,0.0,72.6400 ± 1.8298, 72.2200 ± 1.7598
h2gcn_strc, 0.001,0.0005,64,1,0.5,74.4800 ± 2.2521, 73.6200 ± 2.3942
h2gcn_strc, 0.001,0.0005,64,2,0.0,74.6000 ± 1.7889, 74.0600 ± 1.3795
h2gcn_strc, 0.001,0.0005,64,2,0.5,74.7600 ± 1.8243, 74.5800 ± 1.2795
h2gcn_strc, 0.01,0.001,32,1,0.0,71.8800 ± 2.6668, 72.9400 ± 2.1349
h2gcn_strc, 0.01,0.001,32,1,0.0,72.0000 ± 5.8941, 71.6400 ± 3.9336
h2gcn_strc, 0.01,0.001,32,1,0.5,73.9600 ± 1.8836, 73.3600 ± 1.4893
h2gcn_strc, 0.01,0.001,32,1,0.5,74.3600 ± 2.3212, 72.7000 ± 1.6628
h2gcn_strc, 0.01,0.001,32,2,0.0,75.4000 ± 1.0100, 73.0400 ± 1.4363
h2gcn_strc, 0.01,0.001,32,2,0.0,75.0800 ± 1.7978, 74.2400 ± 1.1149
h2gcn_strc, 0.01,0.001,32,2,0.5,74.8000 ± 2.2672, 74.3000 ± 1.7805
h2gcn_strc, 0.01,0.001,32,2,0.5,74.8000 ± 1.1832, 73.7600 ± 1.4363
h2gcn_strc, 0.01,0.001,64,1,0.0,70.9600 ± 4.3918, 70.2800 ± 4.6644
h2gcn_strc, 0.01,0.001,64,1,0.0,73.9600 ± 2.2154, 72.3200 ± 2.2621
h2gcn_strc, 0.01,0.001,64,1,0.5,73.0400 ± 2.1138, 72.2400 ± 0.8849
h2gcn_strc, 0.01,0.001,64,1,0.5,74.4800 ± 1.2696, 72.8200 ± 2.3700
h2gcn_strc, 0.01,0.001,64,2,0.0,74.8800 ± 2.1753, 73.9800 ± 1.4377
h2gcn_strc, 0.01,0.001,64,2,0.0,74.4800 ± 2.9003, 72.7200 ± 2.6395
h2gcn_strc, 0.01,0.001,64,2,0.5,75.5600 ± 2.3639, 74.0400 ± 2.3985
h2gcn_strc, 0.01,0.001,64,2,0.5,75.8400 ± 1.9718, 75.2400 ± 2.3639
h2gcn_strc, 0.01,0.001,128,1,0.0,70.9200 ± 3.9714, 71.2200 ± 4.3689
h2gcn_strc, 0.01,0.001,128,1,0.0,74.8000 ± 2.2539, 73.4200 ± 0.3701
h2gcn_strc, 0.01,0.001,128,1,0.5,73.6400 ± 2.0268, 73.2400 ± 1.1171
h2gcn_strc, 0.01,0.001,128,1,0.5,73.6400 ± 1.9970, 72.1800 ± 1.4429
h2gcn_strc, 0.01,0.001,128,2,0.0,73.2000 ± 4.4677, 71.9600 ± 3.4818
h2gcn_strc, 0.01,0.001,128,2,0.0,72.8800 ± 3.7406, 71.6000 ± 4.2913
h2gcn_strc, 0.01,0.001,128,2,0.5,75.1600 ± 2.6473, 74.1400 ± 2.4815
h2gcn_strc, 0.01,0.001,128,2,0.5,74.7600 ± 2.6698, 73.8800 ± 2.9508
h2gcn_strc, 0.01,0.0005,32,1,0.0,70.8400 ± 4.7104, 71.2400 ± 4.8014
h2gcn_strc, 0.01,0.0005,32,1,0.0,74.3600 ± 1.9769, 72.7800 ± 1.1541
h2gcn_strc, 0.01,0.0005,32,1,0.5,74.0400 ± 1.9870, 72.9600 ± 1.4064
h2gcn_strc, 0.01,0.0005,32,1,0.5,74.5200 ± 2.2118, 72.6200 ± 1.9880
h2gcn_strc, 0.01,0.0005,32,2,0.0,75.6800 ± 1.5205, 74.3200 ± 1.5073
h2gcn_strc, 0.01,0.0005,32,2,0.0,73.8400 ± 1.8188, 72.2000 ± 2.1389
h2gcn_strc, 0.01,0.0005,32,2,0.5,75.3200 ± 2.0717, 73.0800 ± 1.3330
h2gcn_strc, 0.01,0.0005,32,2,0.5,75.5600 ± 1.2602, 73.8800 ± 1.7697
h2gcn_strc, 0.01,0.0005,64,1,0.0,70.7600 ± 5.1505, 71.2800 ± 5.1051
h2gcn_strc, 0.01,0.0005,64,1,0.0,74.2000 ± 1.8221, 72.3600 ± 1.8690
h2gcn_strc, 0.01,0.0005,64,1,0.5,74.3200 ± 1.8199, 72.2200 ± 1.6694
h2gcn_strc, 0.01,0.0005,64,1,0.5,74.6800 ± 1.7754, 72.1800 ± 2.3488
h2gcn_strc, 0.01,0.0005,64,2,0.0,75.0400 ± 2.6283, 73.0400 ± 2.8832
h2gcn_strc, 0.01,0.0005,64,2,0.0,74.2400 ± 3.7773, 72.6200 ± 3.0376
h2gcn_strc, 0.01,0.0005,64,2,0.5,75.6400 ± 1.6817, 74.4000 ± 2.2000
h2gcn_strc, 0.01,0.0005,64,2,0.5,75.4800 ± 1.6529, 73.7800 ± 1.9980
h2gcn_strc, 0.01,0.0005,128,1,0.0,71.7600 ± 3.8559, 71.3800 ± 3.9556
h2gcn_strc, 0.01,0.0005,128,1,0.0,72.6800 ± 4.3095, 71.0000 ± 3.9414
h2gcn_strc, 0.01,0.0005,128,1,0.5,73.1600 ± 2.1138, 71.7400 ± 1.2239
h2gcn_strc, 0.01,0.0005,128,1,0.5,73.7200 ± 1.9930, 72.5800 ± 1.1735
h2gcn_strc, 0.01,0.0005,128,2,0.0,74.4000 ± 3.1145, 72.8400 ± 2.4785
h2gcn_strc, 0.01,0.0005,128,2,0.0,73.8000 ± 2.6038, 72.9400 ± 2.5136
h2gcn_strc, 0.01,0.0005,128,2,0.5,74.2000 ± 3.2833, 71.9400 ± 3.4457
h2gcn_strc, 0.01,0.0005,128,2,0.5,75.5200 ± 2.0669, 73.8200 ± 2.7959
h2gcn_strc, 0.001,0.001,32,1,0.0,70.1200 ± 5.3714, 70.0800 ± 7.1918
h2gcn_strc, 0.001,0.001,32,1,0.0,73.6800 ± 2.4356, 73.6000 ± 1.5684
h2gcn_strc, 0.001,0.001,32,1,0.5,74.8000 ± 2.7785, 74.6800 ± 2.6071
h2gcn_strc, 0.001,0.001,32,1,0.5,75.2800 ± 2.5830, 74.1600 ± 2.5432
h2gcn_strc, 0.001,0.001,32,2,0.0,74.6000 ± 2.2361, 73.7400 ± 2.0623
h2gcn_strc, 0.001,0.001,32,2,0.0,73.0000 ± 2.2226, 72.6000 ± 2.6665
h2gcn_strc, 0.001,0.001,32,2,0.5,75.6800 ± 2.4641, 74.4800 ± 1.7470
h2gcn_strc, 0.001,0.001,32,2,0.5,74.4800 ± 2.2027, 73.9000 ± 2.2989
h2gcn_strc, 0.001,0.001,64,1,0.0,69.0400 ± 7.0348, 69.1200 ± 8.1952
h2gcn_strc, 0.001,0.001,64,1,0.0,72.9200 ± 1.7697, 72.7200 ± 1.8860
h2gcn_strc, 0.001,0.001,64,1,0.5,73.9200 ± 2.5322, 74.1400 ± 1.9501
h2gcn_strc, 0.001,0.001,64,1,0.5,74.4800 ± 2.5791, 73.8600 ± 2.4654
h2gcn_strc, 0.001,0.001,64,2,0.0,75.2800 ± 2.3221, 73.7400 ± 2.4089
h2gcn_strc, 0.001,0.001,64,2,0.0,74.7200 ± 2.3942, 74.3200 ± 2.0777
h2gcn_strc, 0.001,0.001,64,2,0.5,76.1200 ± 2.1615, 75.0400 ± 1.4519
h2gcn_strc, 0.001,0.001,64,2,0.5,75.4800 ± 1.5975, 74.7000 ± 1.0886
h2gcn_strc, 0.001,0.001,128,1,0.0,69.8400 ± 4.9667, 70.7000 ± 4.3376
h2gcn_strc, 0.001,0.001,128,1,0.0,72.8800 ± 1.5271, 72.6200 ± 1.6843
h2gcn_strc, 0.001,0.001,128,1,0.5,73.4000 ± 2.3622, 73.3600 ± 1.5678
h2gcn_strc, 0.001,0.001,128,1,0.5,74.6000 ± 2.1024, 74.0400 ± 1.8366
h2gcn_strc, 0.001,0.001,128,2,0.0,75.2000 ± 2.3537, 74.2800 ± 2.0018
h2gcn_strc, 0.001,0.001,128,2,0.0,74.8000 ± 2.4000, 74.4200 ± 2.2084
h2gcn_strc, 0.001,0.001,128,2,0.5,75.6800 ± 2.6329, 73.9200 ± 1.9176
h2gcn_strc, 0.001,0.001,128,2,0.5,75.9600 ± 1.7228, 74.8800 ± 1.6529
h2gcn_strc, 0.001,0.0005,32,1,0.0,71.8400 ± 2.4755, 72.1200 ± 2.6985
h2gcn_strc, 0.001,0.0005,32,1,0.0,74.0400 ± 2.8475, 73.6200 ± 1.8240
h2gcn_strc, 0.001,0.0005,32,1,0.5,74.6800 ± 2.5519, 74.4600 ± 2.0157
h2gcn_strc, 0.001,0.0005,32,1,0.5,75.4000 ± 3.0757, 74.6000 ± 3.6531
h2gcn_strc, 0.001,0.0005,32,2,0.0,74.4000 ± 1.7889, 73.9800 ± 1.6100
h2gcn_strc, 0.001,0.0005,32,2,0.0,72.9600 ± 2.1652, 73.1200 ± 2.0681
h2gcn_strc, 0.001,0.0005,32,2,0.5,75.4000 ± 2.2672, 73.8200 ± 1.9652
h2gcn_strc, 0.001,0.0005,32,2,0.5,74.1200 ± 2.1194, 73.0600 ± 2.5215
h2gcn_strc, 0.001,0.0005,64,1,0.0,69.5200 ± 5.9154, 69.5400 ± 6.3654
h2gcn_strc, 0.001,0.0005,64,1,0.0,72.6400 ± 1.8298, 72.2200 ± 1.7598
h2gcn_strc, 0.001,0.0005,64,1,0.5,73.9200 ± 2.6214, 73.6800 ± 2.6471
h2gcn_strc, 0.001,0.0005,64,1,0.5,74.4800 ± 2.2521, 73.6200 ± 2.3942
h2gcn_strc, 0.001,0.0005,64,2,0.0,75.2000 ± 2.1354, 73.3200 ± 3.1870
h2gcn_strc, 0.001,0.0005,64,2,0.0,74.6000 ± 1.7889, 74.0600 ± 1.3795
h2gcn_strc, 0.001,0.0005,64,2,0.5,75.8800 ± 1.7754, 74.7600 ± 1.4605
h2gcn_strc, 0.001,0.0005,64,2,0.5,74.7600 ± 1.8243, 74.5800 ± 1.2795
h2gcn_strc, 0.001,0.0005,128,1,0.0,70.2800 ± 3.9003, 70.8000 ± 4.2024
h2gcn_strc, 0.001,0.0005,128,1,0.0,72.8400 ± 1.4724, 72.5000 ± 1.9799
h2gcn_strc, 0.001,0.0005,128,1,0.5,73.8000 ± 2.3958, 73.3200 ± 1.8700
h2gcn_strc, 0.001,0.0005,128,1,0.5,74.3600 ± 1.9360, 73.6600 ± 1.8730
h2gcn_strc, 0.001,0.0005,128,2,0.0,75.3600 ± 2.4141, 74.2200 ± 1.9409
h2gcn_strc, 0.001,0.0005,128,2,0.0,74.4800 ± 2.3091, 73.4400 ± 3.3276
h2gcn_strc, 0.001,0.0005,128,2,0.5,75.6800 ± 2.2742, 74.5600 ± 1.8008
h2gcn_strc, 0.001,0.0005,128,2,0.5,74.8800 ± 1.8472, 74.1600 ± 2.0562
