method,lr,weight_decay,hidden_channels,num_layers,dropout,val_acc,test_acc
h2gcn_strc, 0.001,0.0005,8,2,0.5,49.1200 ± 2.5830, 46.5600 ± 1.5821
h2gcn_strc, 0.001,0.0005,16,1,0.0,64.2000 ± 2.6944, 64.1400 ± 3.1230
h2gcn_strc, 0.001,0.0005,16,1,0.5,63.0000 ± 3.8158, 59.7600 ± 4.7847
h2gcn_strc, 0.001,0.0005,16,2,0.0,49.6000 ± 1.7436, 46.7800 ± 0.8526
h2gcn_strc, 0.001,0.0005,16,2,0.5,53.0400 ± 2.6623, 48.2200 ± 0.9121
h2gcn_strc, 0.001,0.0005,32,1,0.0,65.6800 ± 1.9728, 62.9000 ± 3.8859
h2gcn_strc, 0.001,0.0005,32,1,0.5,65.2400 ± 1.3594, 61.8600 ± 2.9348
h2gcn_strc, 0.001,0.0005,32,2,0.0,53.2800 ± 2.4641, 50.3400 ± 2.8553
h2gcn_strc, 0.001,0.0005,32,2,0.5,54.6000 ± 2.8213, 53.9200 ± 1.9993
h2gcn_strc, 0.001,0.0005,64,1,0.0,66.3200 ± 1.7527, 64.7200 ± 2.0438
h2gcn_strc, 0.001,0.0005,64,1,0.5,65.6800 ± 1.5595, 64.5200 ± 2.3264
h2gcn_strc, 0.001,0.0005,64,2,0.0,56.8800 ± 0.7155, 53.6400 ± 1.8796
h2gcn_strc, 0.001,0.0005,64,2,0.5,58.6800 ± 2.1288, 55.6400 ± 3.2761
