method,lr,weight_decay,hidden_channels,num_layers,dropout,val_acc,test_acc
h2gcn_strc, 0.001,0.0005,32,2,0.5,73.8800 ± 1.8089, 73.1600 ± 2.9762
h2gcn_strc, 0.001,0.0005,64,1,0.0,73.3200 ± 2.8411, 74.3800 ± 1.5353
h2gcn_strc, 0.001,0.0005,64,1,0.5,72.1200 ± 3.6949, 73.7600 ± 1.9230
h2gcn_strc, 0.001,0.0005,64,2,0.0,73.4000 ± 1.6852, 72.0200 ± 3.1300
h2gcn_strc, 0.001,0.0005,64,2,0.5,74.7200 ± 2.1005, 72.5400 ± 2.9348
h2gcn_strc, 0.01,0.001,32,1,0.0,60.6800 ± 1.5073, 59.8200 ± 2.8744
h2gcn_strc, 0.01,0.001,32,1,0.0,74.1200 ± 2.7734, 75.0600 ± 2.1744
h2gcn_strc, 0.01,0.001,32,1,0.0,60.6800 ± 1.5073, 59.8200 ± 2.8744
h2gcn_strc, 0.01,0.001,32,1,0.0,74.1200 ± 2.7734, 75.0600 ± 2.1744
h2gcn_strc, 0.01,0.001,32,1,0.5,62.2800 ± 0.4382, 60.8800 ± 2.3573
h2gcn_strc, 0.01,0.001,32,1,0.5,72.2000 ± 3.6633, 73.3000 ± 2.3195
h2gcn_strc, 0.01,0.001,32,2,0.0,74.7200 ± 1.4738, 73.4000 ± 3.4778
h2gcn_strc, 0.01,0.001,32,2,0.0,74.8800 ± 1.6649, 72.9800 ± 2.8857
h2gcn_strc, 0.01,0.001,32,2,0.5,77.8400 ± 2.3298, 77.4400 ± 1.8796
h2gcn_strc, 0.01,0.001,32,2,0.5,77.8800 ± 1.1967, 76.6200 ± 2.7977
h2gcn_strc, 0.01,0.001,64,1,0.0,63.2800 ± 2.3942, 62.0000 ± 2.4587
h2gcn_strc, 0.01,0.001,64,1,0.0,74.1600 ± 3.2845, 75.2200 ± 1.9409
h2gcn_strc, 0.01,0.001,64,1,0.5,63.2000 ± 2.0445, 62.8200 ± 2.3264
h2gcn_strc, 0.01,0.001,64,1,0.5,72.7600 ± 3.8455, 73.5000 ± 1.8748
h2gcn_strc, 0.01,0.001,64,2,0.0,75.2000 ± 1.8547, 74.4800 ± 3.8726
h2gcn_strc, 0.01,0.001,64,2,0.0,76.4400 ± 2.1232, 74.4400 ± 4.2506
h2gcn_strc, 0.01,0.001,64,2,0.5,77.5600 ± 1.5126, 76.6600 ± 3.0369
h2gcn_strc, 0.01,0.001,64,2,0.5,78.1600 ± 0.7668, 77.5400 ± 2.4552
h2gcn_strc, 0.01,0.001,128,1,0.0,64.7600 ± 1.3221, 64.3800 ± 2.4315
h2gcn_strc, 0.01,0.001,128,1,0.0,74.0800 ± 3.7963, 74.9000 ± 1.7748
h2gcn_strc, 0.01,0.001,128,1,0.5,64.9600 ± 2.4511, 63.9800 ± 2.8604
h2gcn_strc, 0.01,0.001,128,1,0.5,73.6400 ± 3.7051, 73.5600 ± 1.3831
h2gcn_strc, 0.01,0.001,128,2,0.0,75.7600 ± 2.6661, 75.3600 ± 4.0426
h2gcn_strc, 0.01,0.001,128,2,0.0,77.4000 ± 1.7263, 76.3000 ± 2.6842
h2gcn_strc, 0.01,0.001,128,2,0.5,77.7200 ± 1.5336, 77.3000 ± 2.2716
h2gcn_strc, 0.01,0.001,128,2,0.5,78.5200 ± 0.5215, 78.0400 ± 1.1036
h2gcn_strc, 0.01,0.0005,32,1,0.0,65.0800 ± 7.3819, 65.0800 ± 8.8779
h2gcn_strc, 0.01,0.0005,32,1,0.0,73.8800 ± 2.9482, 74.7200 ± 2.2577
h2gcn_strc, 0.01,0.0005,32,1,0.5,63.1200 ± 1.1189, 61.7800 ± 2.9098
h2gcn_strc, 0.01,0.0005,32,1,0.5,71.9200 ± 3.6072, 72.5200 ± 2.2287
h2gcn_strc, 0.01,0.0005,32,2,0.0,74.8000 ± 1.4071, 73.1000 ± 3.7921
h2gcn_strc, 0.01,0.0005,32,2,0.0,75.3200 ± 2.0278, 73.4200 ± 3.6561
h2gcn_strc, 0.01,0.0005,32,2,0.5,77.7200 ± 1.3236, 76.3800 ± 1.9084
h2gcn_strc, 0.01,0.0005,32,2,0.5,78.0800 ± 0.7694, 76.9800 ± 2.2174
h2gcn_strc, 0.01,0.0005,64,1,0.0,63.7200 ± 1.9058, 62.8600 ± 3.2959
h2gcn_strc, 0.01,0.0005,64,1,0.0,73.9200 ± 3.1515, 74.6600 ± 1.5143
h2gcn_strc, 0.01,0.0005,64,1,0.5,64.2000 ± 2.0591, 63.9600 ± 1.9667
h2gcn_strc, 0.01,0.0005,64,1,0.5,72.4800 ± 3.6949, 73.6800 ± 2.5675
h2gcn_strc, 0.01,0.0005,64,2,0.0,74.9600 ± 2.0513, 74.0800 ± 4.5163
h2gcn_strc, 0.01,0.0005,64,2,0.0,76.3200 ± 2.8305, 74.2400 ± 4.8413
h2gcn_strc, 0.01,0.0005,64,2,0.5,77.8800 ± 1.6769, 76.0200 ± 2.9192
h2gcn_strc, 0.01,0.0005,64,2,0.5,77.4400 ± 2.1420, 76.5000 ± 2.3717
h2gcn_strc, 0.01,0.0005,128,1,0.0,64.5600 ± 1.1781, 64.0800 ± 2.0055
h2gcn_strc, 0.01,0.0005,128,1,0.0,73.9200 ± 4.0140, 74.2000 ± 1.9975
h2gcn_strc, 0.01,0.0005,128,1,0.5,64.7200 ± 2.0130, 63.7600 ± 3.7280
h2gcn_strc, 0.01,0.0005,128,1,0.5,73.2000 ± 3.6878, 72.7800 ± 1.3846
h2gcn_strc, 0.01,0.0005,128,2,0.0,74.7200 ± 2.3520, 74.0800 ± 3.5563
h2gcn_strc, 0.01,0.0005,128,2,0.0,77.4800 ± 2.0474, 76.2400 ± 3.1525
h2gcn_strc, 0.01,0.0005,128,2,0.5,77.6800 ± 2.2253, 76.5600 ± 1.7615
h2gcn_strc, 0.01,0.0005,128,2,0.5,77.8000 ± 1.0488, 77.7800 ± 1.4856
h2gcn_strc, 0.001,0.001,32,1,0.0,63.0400 ± 8.5163, 63.5800 ± 10.5616
h2gcn_strc, 0.001,0.001,32,1,0.0,73.4000 ± 2.7459, 74.4200 ± 2.2343
h2gcn_strc, 0.001,0.001,32,1,0.5,68.4400 ± 5.7400, 67.5000 ± 7.5555
h2gcn_strc, 0.001,0.001,32,1,0.5,72.1200 ± 3.4018, 72.9600 ± 1.5582
h2gcn_strc, 0.001,0.001,32,2,0.0,74.9200 ± 3.0614, 73.2400 ± 4.9217
h2gcn_strc, 0.001,0.001,32,2,0.0,72.0000 ± 1.7088, 70.1200 ± 4.0770
h2gcn_strc, 0.001,0.001,32,2,0.5,76.6800 ± 1.9058, 76.7800 ± 3.0037
h2gcn_strc, 0.001,0.001,32,2,0.5,74.3200 ± 1.4670, 73.3400 ± 2.8483
h2gcn_strc, 0.001,0.001,64,1,0.0,68.3600 ± 6.0966, 67.8000 ± 7.6684
h2gcn_strc, 0.001,0.001,64,1,0.0,73.8400 ± 2.8334, 74.6600 ± 1.2582
h2gcn_strc, 0.001,0.001,64,1,0.5,70.4000 ± 7.7356, 69.1600 ± 8.6927
h2gcn_strc, 0.001,0.001,64,1,0.5,72.7600 ± 3.4566, 74.1200 ± 1.4533
h2gcn_strc, 0.001,0.001,64,2,0.0,76.0000 ± 2.1680, 75.0000 ± 4.1767
h2gcn_strc, 0.001,0.001,64,2,0.0,73.3200 ± 1.9110, 72.4400 ± 3.3336
h2gcn_strc, 0.001,0.001,64,2,0.5,76.8800 ± 1.7978, 75.4000 ± 4.2338
h2gcn_strc, 0.001,0.001,64,2,0.5,75.4000 ± 1.4353, 73.6600 ± 2.3575
h2gcn_strc, 0.001,0.001,128,1,0.0,68.1600 ± 5.2752, 68.0000 ± 6.5510
h2gcn_strc, 0.001,0.001,128,1,0.0,73.8800 ± 2.9278, 74.9000 ± 1.6279
h2gcn_strc, 0.001,0.001,128,1,0.5,70.0800 ± 5.7682, 69.2200 ± 6.7817
h2gcn_strc, 0.001,0.001,128,1,0.5,73.8800 ± 3.4398, 74.6800 ± 1.9791
h2gcn_strc, 0.001,0.001,128,2,0.0,76.9200 ± 2.9819, 76.4000 ± 2.7175
h2gcn_strc, 0.001,0.001,128,2,0.0,74.4000 ± 1.6248, 73.7800 ± 2.3059
h2gcn_strc, 0.001,0.001,128,2,0.5,77.2800 ± 2.3091, 77.4000 ± 2.3633
h2gcn_strc, 0.001,0.001,128,2,0.5,75.0000 ± 1.8655, 73.1600 ± 4.2759
h2gcn_strc, 0.001,0.0005,32,1,0.0,68.2800 ± 7.7118, 67.8600 ± 9.5091
h2gcn_strc, 0.001,0.0005,32,1,0.0,73.1200 ± 2.6442, 73.9400 ± 1.9769
h2gcn_strc, 0.001,0.0005,32,1,0.5,70.0000 ± 4.8642, 69.9000 ± 4.7313
