method,lr,weight_decay,hidden_channels,power1,power2,normalize_feature,val_acc,test_acc
ognn, 0.01,0.001,128,20,2,True,80.7600 ± 1.5710, 79.5800 ± 0.4550
ognn, 0.001,0.001,64,20,2,True,79.2400 ± 2.1973, 79.2400 ± 2.0477
ognn, 0.01,0.0005,64,20,1,True,79.8800 ± 1.1009, 78.8000 ± 1.4577
ognn, 0.01,0.0005,64,20,2,True,80.4400 ± 1.1781, 79.6000 ± 1.5215
ognn, 0.01,0.001,128,20,5,True,80.6800 ± 1.5595, 79.6000 ± 1.3172
ognn, 0.001,0.001,64,20,5,True,79.6400 ± 2.4265, 79.0800 ± 1.9331
ognn, 0.001,0.001,128,5,5,True,78.1200 ± 3.5682, 77.4000 ± 3.4749
ognn, 0.01,0.0005,64,20,5,True,80.8000 ± 1.3928, 79.4600 ± 1.1803
ognn, 0.001,0.0005,64,2,5,True,76.6800 ± 2.2253, 76.5600 ± 1.5884
ognn, 0.001,0.0005,64,5,1,True,78.2800 ± 1.9370, 77.8400 ± 2.2233
ognn, 0.01,0.0005,128,20,2,True,80.6800 ± 1.5139, 79.8000 ± 1.3946
ognn, 0.001,0.001,128,10,1,True,73.6400 ± 13.8372, 71.8400 ± 15.7305
ognn, 0.001,0.0005,64,5,2,True,78.6400 ± 1.3297, 78.5800 ± 1.0895
ognn, 0.01,0.0005,128,20,5,True,80.4800 ± 1.9318, 79.9400 ± 1.5678
ognn, 0.001,0.001,128,10,2,True,79.6400 ± 1.4519, 79.4800 ± 0.9311
ognn, 0.001,0.0005,64,5,5,True,78.8800 ± 1.6037, 78.6000 ± 0.8888
ognn, 0.001,0.0005,64,10,1,True,78.8800 ± 1.6407, 78.3600 ± 1.7501
ognn, 0.001,0.0005,64,10,2,True,79.0000 ± 1.7664, 78.4800 ± 1.0474
ognn, 0.001,0.0005,128,2,1,True,71.8000 ± 12.0033, 70.6600 ± 14.5249
ognn, 0.001,0.0005,128,2,2,True,73.2800 ± 9.4790, 72.4000 ± 10.0409
ognn, 0.001,0.001,128,10,5,True,79.7600 ± 1.6994, 79.2200 ± 0.7155
ognn, 0.001,0.0005,64,10,5,True,79.5600 ± 1.9360, 78.5800 ± 1.9162
ognn, 0.001,0.0005,128,5,1,True,72.8800 ± 14.8247, 70.8400 ± 17.0259
ognn, 0.001,0.0005,128,2,5,True,75.6400 ± 5.0959, 74.7400 ± 5.6607
ognn, 0.001,0.0005,64,20,1,True,78.4800 ± 2.4315, 78.1000 ± 1.7349
ognn, 0.001,0.0005,128,5,2,True,78.6000 ± 1.1576, 78.5800 ± 0.7328
ognn, 0.001,0.0005,64,20,2,True,79.2000 ± 2.2316, 79.2200 ± 1.8254
ognn, 0.001,0.001,128,20,1,True,74.0000 ± 12.9677, 71.7400 ± 14.8679
ognn, 0.001,0.0005,128,5,5,True,79.1600 ± 1.5323, 78.7400 ± 0.7436
ognn, 0.001,0.001,128,20,2,True,79.4800 ± 1.9728, 79.5400 ± 1.0479
ognn, 0.001,0.0005,64,20,5,True,79.8400 ± 2.2645, 79.2200 ± 1.5123
ognn, 0.001,0.0005,128,10,1,True,73.4800 ± 14.0958, 71.6600 ± 16.3191
ognn, 0.001,0.0005,128,10,2,True,79.6800 ± 1.2377, 79.3200 ± 0.9284
ognn, 0.001,0.001,128,20,5,True,79.8800 ± 2.1241, 79.2600 ± 1.6920
ognn, 0.001,0.0005,128,10,5,True,79.6800 ± 1.6468, 79.1000 ± 0.8631
ognn, 0.001,0.0005,128,20,1,True,79.1600 ± 2.2064, 79.1200 ± 1.9880
ognn, 0.001,0.0005,128,20,2,True,79.6800 ± 1.9829, 79.5400 ± 0.9127
ognn, 0.001,0.0005,128,20,5,True,79.5200 ± 2.3350, 79.3200 ± 1.6814
